"citation","doi","filename","variable","word_column","mean_column","sd_column","ss/item","min_score","max_score"
"J. Frederico Marques, Francisca L. Fonseca, Sofia Morais, Inês A. Pinto. (2007). Estimated age of acquisition norms for 834 Portuguese nouns and their relation with other psycholinguistic variables. Behavior Research Methods","https://doi.org/10.3758/bf03193013","Marques2007.csv","familiar","word_portuguese","familiar_mean",,,1.11,4.89
"J. Frederico Marques, Francisca L. Fonseca, Sofia Morais, Inês A. Pinto. (2007). Estimated age of acquisition norms for 834 Portuguese nouns and their relation with other psycholinguistic variables. Behavior Research Methods","https://doi.org/10.3758/bf03193013","Marques2007.csv","imagine","word_portuguese","imagine_mean",,,1.6,6.87
"Jackie Masterson, Judit Druks. (1998). Description of a set of 164 nounsand 102 verbs matched for printed word frequency, familiarityand age-of-acquisition. Journal of Neurolinguistics","https://doi.org/10.1016/s0911-6044(98)00023-2","Masterson1998.csv","aoa","word_english","aoa_mean","aoa_sd",,1.3,4.56
"Jackie Masterson, Judit Druks. (1998). Description of a set of 164 nounsand 102 verbs matched for printed word frequency, familiarityand age-of-acquisition. Journal of Neurolinguistics","https://doi.org/10.1016/s0911-6044(98)00023-2","Masterson1998.csv","familiar","word_english","familiar_mean","familiar_sd",,1.4,6.71
"Jackie Masterson, Judit Druks. (1998). Description of a set of 164 nounsand 102 verbs matched for printed word frequency, familiarityand age-of-acquisition. Journal of Neurolinguistics","https://doi.org/10.1016/s0911-6044(98)00023-2","Masterson1998.csv","imagine","word_english","imagine_mean","imagine_sd",,3,6.64
"Masaya Mochizuki, Naoto Ota. (2025). Collection of age of acquisition ratings for over 5,000 Japanese words. Frontiers in Language Sciences","https://doi.org/10.3389/flang.2025.1605224","Mochizuki2025.csv","aoa","word_japanese","aoa_mean","aoa_sd",,2.46341463414634,6.85106382978723
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","arousal_all","word_french","arousal_mean_all","arousal_sd_all",,2.14,7.86
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","arousal_female","word_french","arousal_mean_female","arousal_sd_female",,2,8.19
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","arousal_male","word_french","arousal_mean_male","arousal_sd_male",,2,7.88
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","imagine","word_french","imagine_mean",,,1.56,7
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","valence_all","word_french","valence_mean_all","valence_sd_all",,1.35,8.58
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","valence_female","word_french","valence_mean_female","valence_sd_female",,1.25,8.81
"Catherine Monnier, Arielle Syssau. (2014). Affective norms for french words (FAN). Behavior Research Methods","https://doi.org/10.3758/s13428-013-0431-1","Monnier2014.csv","valence_male","word_french","valence_mean_male","valence_sd_male",,1.75,8.39
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","arousal","word_french","arousal_mean","arousal_sd",,2.14,7.86
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","arousal_female","word_french","arousal_mean_female","arousal_sd_female",,2,8.19
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","arousal_male","word_french","arousal_mean_male","arousal_sd_male",,2,7.88
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","imagine","word_french","imagine_mean",,,1.56,7
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","valence","word_french","valence_mean","valence_sd",,1.35,8.58
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","valence_female","word_french","valence_mean_female","valence_sd_female",,1.25,8.81
"Catherine Monnier, Arielle Syssau. (2017). Affective norms for 720 French words rated by children and adolescents (FANchild). Behavior Research Methods","https://doi.org/10.3758/s13428-016-0831-0","Monnier2017.csv","valence_male","word_french","valence_mean_male","valence_sd_male",,1.75,8.39
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","arousal","word_italian","arousal_mean","arousal_sd",,2,8.11
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","arousal_female","word_italian","arousal_mean_female","arousal_sd_female",,2.04,8.21
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","arousal_male","word_italian","arousal_mean_male","arousal_sd_male",,1.5,8.17
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","concrete","word_italian","concrete_mean","concrete_sd",,2.4,9
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","familiar","word_italian","familiar_mean","familiar_sd",,2.8,8.85
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","imagine","word_italian","imagine_mean","imagine_sd",,3.4,9
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","valence","word_italian","valence_mean","valence_sd",,1.18,8.88
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","valence_female","word_italian","valence_mean_female","valence_sd_female",,1.06,8.87
"Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0405-3","Montefinese2014.csv","valence_male","word_italian","valence_mean_male","valence_sd_male",,1.1,8.9
"Maria Montefinese. (2019). Semantic representation of abstract and concrete words: a minireview of neural evidence. Journal of Neurophysiology","https://doi.org/10.1152/jn.00065.2019","Montefinese2019.csv","aoa","word_italian","aoa_mean","aoa_sd",,1.88,14.35
"Maria Montefinese, Lorenzo Gregori, Andrea Amelio Ravelli, Rossella Varvara, Daniele Paolo Radicioni. (2023). CONcreTEXT norms: Concreteness ratings for Italian and English words in context. PLOS ONE","https://doi.org/10.1371/journal.pone.0293031","Montefinese2023_en.csv","concrete","word_english","concrete_mean","concrete_sd",,1.31,7
"Maria Montefinese, Lorenzo Gregori, Andrea Amelio Ravelli, Rossella Varvara, Daniele Paolo Radicioni. (2023). CONcreTEXT norms: Concreteness ratings for Italian and English words in context. PLOS ONE","https://doi.org/10.1371/journal.pone.0293031","Montefinese2023_it.csv","concrete","word_italian","concrete_mean","concrete_sd",,1.44,6.96
